sample,true_key,pred_key_kf,pred_key_kf_2
TRALPNU128F4244561,Cm,Eb,D#
TRHAANU128E0787F44,Cm,Cm,Cm
TRLRQDE12903CE9569,Cm,Cm,Cm
TRRTCMY128F9326B32,Cm,Fm,Fm
TRBRVTO128F933915D,C,C,C
TREQDOZ12903CAAD59,C,Gb,F#
TRHKYKL128F426127E,C,C,C
TRRPYBS12903CB5056,C,C,C
TRJBRWQ128F931C889,C#m,Abm,G#
TRNIFAL12903CC98E0,C#m,Dbm,C#m
TRRNXYW12903CEB215,C#m,Dbm,C#m
TRTMFLZ128F145A7FC,C#m,Dbm,C#m
TREVMSU128F148ADC9,C#,Db,C#
TRGQBOC128F422444D,C#,Db,C#
TRISKXO128F1458798,C#,Db,C#
TRYTNNO12903CE9D10,C#,Db,C#
TRBZTBL128F933F0A0,Dm,Dm,Dm
TRLSEBW12903CAC63F,Dm,Dm,Dm
TRCTQJS128F93012CF,D,D,D
TRHJRXB128F932F45F,D,D,D
TRGRAKL12903CBF4CB,D#m,Bb,A#
TRGUKZP128F92C25D8,D#m,Bbm,A#m
TRLKWJA128F92E154E,D#m,Ebm,D#m
TRNRJCO128F429499C,D#m,Bbm,A#m
TRJKQOJ128F1470918,D#,Bb,A#
TRNEKDM128E0780C91,D#,Bb,A#
TRHKGWV128F4249B5C,Em,Em,Em
TRZWVTJ128F930A453,Em,Am,Am
TRCWIZD128EF35EE04,E,E,E
TRZXHPF128F426B68A,E,E,E
TRAIPST128F9302AE9,Fm,Fm,Fm
TRLIUCI128F931BB20,Fm,Fm,Fm
TRNPQRI128F92FB652,Fm,Bbm,A#m
TRQMKHI128F92CC666,Fm,Fm,Fm
TRJCFUU128F9336309,F,F,F
TRPXWTC12903CBF1C6,F,Bbm,A#m
TRRRXGI128F424704B,F,F,F
TRRXLYN128F4275564,F,F,F
TRIOTLQ128E0789D3B,F#m,Bm,Bm
TRKVLFA12903CD12C4,F#m,Dbm,C#m
TRLYXKY128F428B6C0,F#,Gb,F#
TRSZMTS128F4264B4A,F#,Db,C#
TRKXXHP128F42581CC,Gm,Gm,Gm
TRUIIZI12903D00069,Gm,Gm,Gm
TRBVOMJ128F930332C,G,G,G
TRGIHDA128F931F552,G,D,D
TRGKBJN128F4288412,G,G,G
TRQUSSD12903CEA739,G,G,G
TRIZVHE128EF351C4E,G#m,Abm,G#m
TRWIPVP128F4260CBC,G#m,Abm,G#m
TRIGURP128F4287B67,G#,Eb,D#
TRWTKSY128F1486E87,G#,Ab,G#
TRBZEXG128F4275E75,Am,Em,Em
TRIDYAW128F426A8A8,Am,G,G
TRFYFKL12903CC08ED,A,E,E
TRMMJCI128F42471AA,A,A,A
TRDADGQ128F92F52C2,A#m,Fm,Fm
TRESUTG128F92ED481,A#m,Bbm,A#m
TRPBAPE128F14A0939,A#m,Em,Em
TRRWZDM128F930DAB7,A#m,Bbm,A#m
TRIONCU128F4272C4A,A#,Gm,Gm
TRJSUDL12903CC5016,A#,F,F
TRNCTCO12903C96FFB,A#,Bb,A#
TRXHEIQ128F427D6AF,A#,Bb,A#
TREDEZC128F92E3D83,Bm,Em,Em
TRITTRR128F4273A4D,Bm,Bm,Bm
TRTHMRL12903CA39DE,Bm,Bm,Bm
TRWJQYS128F9333F0C,Bm,Bm,Bm
TRAXPJU128F148ADE8,B,B,B
TRFOKTF128F1477266,B,B,B
TRJHFIP128F92F2630,B,B,B
TRZREGD12903CBCA69,B,E,E
