,key,key_confidence,mode,mode_confidence,tempo,track_id,song_id,artist_name,song_title
179,6,1.0,1,1.0,111.589,TRMGSNS128F4261AC5,SOBJEDE12A6D4FB9C6,Josh Ritter,Good Man
606,0,1.0,0,0.861,100.296,TRMQFWW128F1465DC5,SOVJPKX12A6D4F7362,Eternal,Who Are You
622,6,1.0,1,1.0,166.08599999999998,TRMQNAN128F92DFABE,SOUABNU12AAF3B4E5B,Thomas Godoj,Too Young To Grow Old
664,0,1.0,1,1.0,90.06299999999999,TRMZWTU128F145E524,SOXGICT12A6D4F8CB3,Toots & The Maytals,Redemption Song
700,9,1.0,1,1.0,76.196,TRMZPZQ128F92F1D3C,SOJDQUX12AB0183CFF,The Love Language,Stars
833,0,1.0,0,0.777,101.51,TRMAZNT12903CDF7A1,SOIWGJG12A58A7D278,Linea 77,Sleepless
929,0,1.0,0,0.877,144.987,TRMNUWW12903CE9B9F,SOHXVJO12A58A79A6B,Mekkanikka,Flame It
1978,1,1.0,1,1.0,94.535,TRWWITJ128F425F61F,SOMMNBO12A8C1351C1,Joe Christmas,Goodbye
1988,0,1.0,0,0.9620000000000001,122.74600000000001,TRWWUKN128F932A086,SOXSQMS12AB0181DB3,Judy Dyble,C'est La Vie
2503,3,0.9359999999999999,0,0.9229999999999999,137.674,TRWZRTB128F4295210,SOVZPWC12A58A775AF,Blindside,Thought Like Flames (LP Version)
2600,8,0.89,0,0.9279999999999999,156.0,TRWIPVP128F4260CBC,SOLFHTR12A8C133FA6,Thirst,Youmeus
2757,9,1.0,1,1.0,45.553999999999995,TRWNOXZ12903CDB377,SOVNLNQ12AF729F162,R.L. Burnside,Bad Luck And Trouble
2909,8,1.0,1,1.0,88.73899999999999,TRWTKSY128F1486E87,SOKHFCF12A6D4F960E,Robbie Williams,Summertime
3142,10,1.0,1,0.976,114.95299999999999,TRWJHVS128F932F44F,SOWLQIW12AB0180F29,Malory,Falling Shine
3153,11,1.0,0,0.9590000000000001,135.12,TRWJQYS128F9333F0C,SOOYKDA12AB0182DCC,Toby Keith,A Woman's Touch
3179,5,0.9540000000000001,0,1.0,125.02,TRWJVZB128F92D51DB,SOSGEPV12A8C144410,Loney Dear,Under A Silent Sea
3352,7,1.0,1,1.0,105.916,TRWDRKJ128F4277E39,SOLLFIG12A8C1362E6,Julie Doiron,Tonight_ We Sleep
3590,11,1.0,1,0.992,131.946,TRWKOYH12903CBD243,SOPJRDQ12AB01894B4,Nanci Griffith,Dress Of Laces (LP Version)
3592,6,1.0,1,1.0,149.93,TRWKKAG12903CCE734,SOEGQTF12AB018F830,Miranda Lambert,Love Song
3688,11,0.972,0,0.975,133.192,TRGMIAU128F92E2241,SOMZKPU12A8C140FEC,Steve Howe,Lost For Words
3936,2,0.95,0,0.9940000000000001,127.415,TRGCHSZ128F426BA5F,SOEQUDQ12A58A787F7,Michael Jones,Indian Summer
4243,6,1.0,0,0.9470000000000001,119.97,TRGQFKD12903CF6A0E,SOFLCOB12AC960DD46,The Tragically Hip,Black Day In July
4704,9,1.0,1,1.0,127.785,TRGTXCS128F92FBA16,SODJUCA12AB017D5A7,The Spongetones,Resurrection Man
4776,3,0.9470000000000001,0,0.905,82.166,TRGUKZP128F92C25D8,SOBAPRM12A8C140BB4,Natasha Bedingfield,Soulmate
5283,0,1.0,1,1.0,144.00799999999998,TRGXIUP12903CC8CC2,SOUKYPJ12AB0189A5E,Twinkle Twinkle Little Rock Star,Down On The Corner
5318,9,0.956,0,0.907,85.469,TRGXXTO128F92D124F,SOVBESP12A8C1433FD,My Name Is Nobody,Black eyed monkeys
